IDENTIFICATION,,,LOCALITY,,,,,,,,,,,,,,TIME,,,,,,,,,,PLANT,,,,,,,,,,,,,,,,,,,CAT DET.,,,,,,,LEP COMMENTS,,,TOID and EME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,tempID,Pinned,Date,Year,Month,Day,Site,Time,coord_approx_exact,Lat,Long,LatLong,plot_num,Plot_by_day,Location_Description,time_per,n_coll,time_cum,tree_ID,elev,forest_type,order,family,subfamily,tribe,subtribe,genus,plant_cn,Epiphyte,Epiphyte_of,HPlant,Plant_Genus,Plant_Sp,PlantIND,MicroMacro,N_collected,Need_Recount,life_stage,lep_fam,lep_subfam,lep_tribe,lep_genus,lep_sp,lep_name,suspected,common_name,Morpho,Status,Host_unconfirmed,Label_Tape,C.C.I,MORPHO,lep_comment,LifeHistoryNote,Btoid,pupal,toided,eme,toid_name,Parasitoid_Order,Parasitoid_Family,Parasitoid_Subfamily,Parasitoid_Tribe,toid_morpho,toid_ID,Identified_by,date_eclosed,number eclosed,result,lep_subfam,lep_cn,lep_sp,lep_comment,lep_determ,lep_voucher,color_morph,drop,thrash,bite,vomit,shelter_web,group,frass_thrower,ostemeria,hair,spiny,glabrous,urticate,mass,length,behav_comment,photo_num,p_endo_ecto,p_pupate_type,p_larva_hostlarva_hostpupa,p_adult_hostlarva_hostpupa,p_date_pupate,p_date_eclosed,p_pupate_loc,num_psit,p_behav,psit_fam,psit_subfam,psit_sp,p_comment,p_voucher,collector,p_determ,,,,,,
11,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,,,,,,,,,12-Jun-09,,,,,,,,,,,,,,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_11_rearing,,,,,,,,,,,,,,,,,,,,,,
12,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Plantaginaceae,,,,,Fuzzy Plantago,,,,,,,,,,,,,,,,,,snot tortricid,,adult,,,,,,,,12-Jun-09,,27-Jun-09,,,,,,,,,,,adult,,snot tortricid,,,,,Cryptic,Yes,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_12_rearing,,,,,,,,,,,,,,,,,,,,,,
13,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Plantaginaceae,,,,,Fuzzy Plantago,,,,,,,,,,,,,,,,,,snot tortricid,,adult,,,,,,,,11-Jun-09,,26-Jun-09,,,,,,,,,,,adult,,snot tortricid,,,,,Cryptic,Yes,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Plantaginaceae,,,,,Fuzzy Plantago,,,,,,,,,,,,,,,,,,big snot tortricid,,adult,,,,,,,,19-Jun-09,,28-Jun-09,,,,,,,,,,,adult,,big snot tortricid,,,,,Cryptic,Yes,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,Probably same species as Snot Tortricid,SCRS_14_rearing,,,,,,,,,,,,,,,,,,,,,,
15,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Plantaginaceae,,,,,Fuzzy Plantago,,,,,,,,,,,,,,,,,,snot tortricid,,adult,,,,,,,,19-Jun-09,,3-Jul-09,,,,,,,,,,,adult,,snot tortricid,,,,,Cryptic,Yes,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Asteraceae,,,,,Hollow-stemmed Arrowleaf,,,Senecio triangularis,,,,,,,,Pterophoridae,,,,,Hellinsia helianthi Walsingham,Hellinsia helianthi Walsingham,stubby greeney,,adult,,,,,,,,13-Jun-09,,20-Jun-09,,,,,,,,,,,adult,,stubby greeney,Hellinsia helianthi Walsingham,,,,Cryptic,No,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_16_rearing,,,,,,,,,,,,,,,,,,,,,,
17,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Asteraceae,,,,,Hollow-stemmed Arrowleaf,,,Senecio triangularis,,,,,,,,Pterophoridae,,,,,Hellinsia helianthi Walsingham,Hellinsia helianthi Walsingham,stubby greeney,,adult,,,,,,,,12-Jun-09,,20-Jun-09,,,,,,,,,,,adult,,stubby greeney,Hellinsia helianthi Walsingham,,,,Cryptic,No,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Asteraceae,,,,,Hollow-stemmed Arrowleaf,,,Senecio triangularis,,,,,,,,Pterophoridae,,,,,Hellinsia helianthi Walsingham,Hellinsia helianthi Walsingham,stubby greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,stubby greeney,Hellinsia helianthi Walsingham,,,,Cryptic,No,No,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,Endo,Out,Larva,,11-Jun-09,24-Jun-09,In bag,1,,Tachinidae,,,,,,,,,,,,
19,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,adult,,,,,,,,10-Jun-09,,23-Jun-09,,,,,,,,,,,adult,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_19_rearing,,,,,,,,,,,,,,,,,,,,,,
20,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,adult,,,,,,,,7-Jun-09,,25-Jun-09,,,,,,,,,,,adult,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
